c,e,mse
0.001,0.066,0.14204782713215203
0.001,0.067,0.14208923324921016
0.001,0.068,0.14212757939519446
0.001,0.069,0.14213672887203577
0.001,0.07,0.1421367288720358
0.001,0.071,0.14215994873738724
0.001,0.072,0.14218616371364595
0.001,0.073,0.14221681053477556
0.001,0.074,0.14221681053477556
0.001,0.075,0.1422003415595115
0.001,0.076,0.14217810722075483
0.001,0.077,0.14219261785865295
0.001,0.078,0.14225911712468955
0.001,0.079,0.14225911712468953
0.001,0.08,0.1422475492129291
0.001,0.081,0.14218722086936883
0.001,0.082,0.14219150017038562
0.001,0.083,0.14220749577464833
0.001,0.084,0.1421894700731411
0.001,0.085,0.14215405054016025
0.001,0.086,0.14218003151756844
0.001,0.087,0.14219521494685572
0.001,0.088,0.14222721290016702
0.001,0.089,0.142188294242865
0.001,0.09,0.14220462828825797
0.001,0.091,0.1422656855497409
0.001,0.092,0.1422656855497409
0.001,0.093,0.14230428100135703
0.001,0.094,0.1423036080265815
0.001,0.095,0.14231326287943424
0.001,0.096,0.14236796588958656
0.001,0.097,0.1423679658895865
0.001,0.098,0.14236796588958653
0.001,0.099,0.14236796588958653
0.002,0.001,0.13689016921015945
0.002,0.002,0.13688964630581948
0.002,0.003,0.13696546322201575
0.002,0.004,0.13699902585695167
0.002,0.005,0.13702695213941885
0.002,0.006,0.13699848777415077
0.002,0.007,0.13699868344334704
0.002,0.008,0.13700357907519575
0.002,0.009,0.13700995421956638
0.002,0.01,0.137005289891093
0.002,0.011,0.13697146063058346
0.002,0.012,0.13695053255352327
0.002,0.013,0.13696041356857555
0.002,0.014,0.13699098775527813
0.002,0.015,0.13697660956478333
0.002,0.016,0.13688376421577997
0.002,0.017,0.13691740039041672
0.002,0.018,0.13696576499614582
0.002,0.019,0.13700049492973007
0.002,0.02,0.13702158222371158
0.002,0.021,0.13702808577395711
0.002,0.022,0.13704781628422086
0.002,0.023,0.13706035594941252
0.002,0.024,0.13696913332167326
0.002,0.025,0.13689358567780396
0.002,0.026,0.13698792262712367
0.002,0.027,0.13698514213172952
0.002,0.028,0.1369479888949166
0.002,0.029,0.13694133170657535
0.002,0.03,0.13697640715993942
0.002,0.031,0.13702666845446354
0.002,0.032,0.13699694766982476
0.002,0.033,0.1369644290589029
0.002,0.034,0.13697401747552404
0.002,0.035,0.1370659004691415
0.002,0.036,0.13711483899715934
0.002,0.037,0.13711483899715934
0.002,0.038,0.13710263613914578
0.002,0.039,0.13702227199686084
0.002,0.04,0.13698903118422132
0.002,0.041,0.13689502498863418
0.002,0.042,0.1369400263332002
0.002,0.043,0.13694546830202112
0.002,0.044,0.1369542684275742
0.002,0.045,0.13694409262439197
0.002,0.046,0.13693489779018272
0.002,0.047,0.13692352032089095
0.002,0.048,0.1368983878345107
0.002,0.049,0.13692293601130234
0.002,0.05,0.13691312715586043
0.002,0.051,0.13688632564255127
0.002,0.052,0.13681378513134673
0.002,0.053,0.13682092720033645
0.002,0.054,0.13693470758532938
0.002,0.055,0.13694858986800174
0.002,0.056,0.13710313050029246
0.002,0.057,0.1371671249665394
0.002,0.058,0.13712261021549915
0.002,0.059,0.13713590483259602
0.002,0.06,0.13714589569653157
0.002,0.061,0.13721821826518477
0.002,0.062,0.13739385373415477
0.002,0.063,0.1374292994124212
0.002,0.064,0.1374867722524573
0.002,0.065,0.1374867722524573
0.002,0.066,0.13748702956015152
0.002,0.067,0.13750562861927398
0.002,0.068,0.13751449600025
0.002,0.069,0.13754216955159881
0.002,0.07,0.13760050587945186
0.002,0.071,0.13766094391134318
0.002,0.072,0.13768135705131088
0.002,0.073,0.1377070256145511
0.002,0.074,0.13783394745992253
0.002,0.075,0.13782151159859443
0.002,0.076,0.13778833373669014
0.002,0.077,0.13766448565713485
0.002,0.078,0.13766448565713485
0.002,0.079,0.13767756915373122
0.002,0.08,0.13772381811424736
0.002,0.081,0.13771679880956117
0.002,0.082,0.1377082073837604
0.002,0.083,0.13770725756005128
0.002,0.084,0.1377394779663106
0.002,0.085,0.13778666438661052
0.002,0.086,0.13776963073927873
0.002,0.087,0.13783498227059363
0.002,0.088,0.13787729191260067
0.002,0.089,0.13795531168951083
0.002,0.09,0.13804033499456625
0.002,0.091,0.1381145186320589
0.002,0.092,0.13816562271559016
0.002,0.093,0.13821756020214612
0.002,0.094,0.13821185134289884
0.002,0.095,0.13822241844820013
0.002,0.096,0.13823471445048482
0.002,0.097,0.1382140343662273
0.002,0.098,0.1382684482778799
0.002,0.099,0.13831364184299924
0.003,0.001,0.13229457700180486
0.003,0.002,0.13221152429240018
0.003,0.003,0.13221152429240018
0.003,0.004,0.13223055785775556
0.003,0.005,0.13220458187639125
0.003,0.006,0.1321595456323512
0.003,0.007,0.13217516296090256
0.003,0.008,0.13221609172537907
0.003,0.009,0.13227503103453497
0.003,0.01,0.13227503103453495
0.003,0.011,0.13227526072818793
0.003,0.012,0.13242636018599005
0.003,0.013,0.13247771731263083
0.003,0.014,0.1324837552175757
0.003,0.015,0.1325626721878517
0.003,0.016,0.13257531403950693
0.003,0.017,0.13260107281150454
0.003,0.018,0.13255859986731797
0.003,0.019,0.1325507011579772
0.003,0.02,0.13260381802771612
0.003,0.021,0.13257359715864642
0.003,0.022,0.1325178730381257
0.003,0.023,0.13248975575304725
0.003,0.024,0.13248382534350683
0.003,0.025,0.13248691055020057
