c,e,mse
0.001,0.074,0.10589635396079732
0.001,0.075,0.10591764947422316
0.001,0.076,0.1061396422128901
0.001,0.077,0.10613593192231881
0.001,0.078,0.10607044601117019
0.001,0.079,0.10614305200954802
0.001,0.08,0.10666133707450659
0.001,0.081,0.10667272295370915
0.001,0.082,0.10663617698440611
0.001,0.083,0.10706217718153335
0.001,0.084,0.10743922458471156
0.001,0.085,0.10734980989770646
0.001,0.086,0.10774453480366018
0.001,0.087,0.10773666932202235
0.001,0.088,0.10773966908080262
0.001,0.089,0.10811593922787273
0.001,0.09,0.10811593922787276
0.001,0.091,0.10816921904430646
0.001,0.092,0.10816276737582778
0.001,0.093,0.10858096061328466
0.001,0.094,0.10852394426006505
0.001,0.095,0.10866318476639417
0.001,0.096,0.10880242527272327
0.001,0.097,0.10922434367391652
0.001,0.098,0.10970155728779292
0.001,0.099,0.10970155728779292
0.002,0.001,0.07848474361442828
0.002,0.002,0.0783488263832393
0.002,0.003,0.07843977436839421
0.002,0.004,0.07880624807732854
0.002,0.005,0.0788494562191322
0.002,0.006,0.07901180920043373
0.002,0.007,0.07901483520891851
0.002,0.008,0.07929365335514842
0.002,0.009,0.07934333601618848
0.002,0.01,0.07935587355981275
0.002,0.011,0.07952338897211453
0.002,0.012,0.07933189315971263
0.002,0.013,0.07950806412652667
0.002,0.014,0.07998397994579945
0.002,0.015,0.08029417950684753
0.002,0.016,0.0806326306233155
0.002,0.017,0.08066298459863987
0.002,0.018,0.08101345451735521
0.002,0.019,0.0811404801644205
0.002,0.02,0.08123025912107827
0.002,0.021,0.08126625429655948
0.002,0.022,0.08160510244833843
0.002,0.023,0.08147653826517813
0.002,0.024,0.08154068076684479
0.002,0.025,0.08196487698031
0.002,0.026,0.08211614551979751
0.002,0.027,0.08219694537327624
0.002,0.028,0.08256626320313841
0.002,0.029,0.0826305679223547
0.002,0.03,0.0828611285839235
0.002,0.031,0.08313272790600205
0.002,0.032,0.08371643320087761
0.002,0.033,0.08404130631099863
0.002,0.034,0.08402004134945298
0.002,0.035,0.08439035016753302
0.002,0.036,0.08458945807416571
0.002,0.037,0.08503486292916895
0.002,0.038,0.08523401971702209
0.002,0.039,0.08506752320982269
0.002,0.04,0.08551601645525887
0.002,0.041,0.08558838326873894
0.002,0.042,0.08580625818067669
0.002,0.043,0.08589327172925598
0.002,0.044,0.08592803508887595
0.002,0.045,0.08652926122545172
0.002,0.046,0.08659185161025963
0.002,0.047,0.08655533088156306
0.002,0.048,0.08650632153583247
0.002,0.049,0.086919236307236
0.002,0.05,0.08733034798527367
0.002,0.051,0.08752207907120073
0.002,0.052,0.08756269667457833
0.002,0.053,0.08760780085139397
0.002,0.054,0.08803457948300683
0.002,0.055,0.08827905925435084
0.002,0.056,0.08857085193207492
0.002,0.057,0.0885378185420553
0.002,0.058,0.08850285738464847
0.002,0.059,0.088453063637038
0.002,0.06,0.08883649328058303
0.002,0.061,0.08921300038352092
0.002,0.062,0.08927629152276144
0.002,0.063,0.08955723984770635
0.002,0.064,0.0898119044052196
0.002,0.065,0.09000748293078147
0.002,0.066,0.08994760184552239
0.002,0.067,0.09010529931264656
0.002,0.068,0.09032119399708666
0.002,0.069,0.09062770992056755
0.002,0.07,0.09069100105980808
0.002,0.071,0.0909948950795561
0.002,0.072,0.0913252632861669
0.002,0.073,0.09150202333587636
0.002,0.074,0.0915820125110291
0.002,0.075,0.09153993991161077
0.002,0.076,0.09148973896006767
0.002,0.077,0.09150041659054603
0.002,0.078,0.0915797887735745
0.002,0.079,0.0920058268918365
0.002,0.08,0.09182025279573544
0.002,0.081,0.09177084326405519
0.002,0.082,0.09198239236805314
0.002,0.083,0.09236017613282803
0.002,0.084,0.0927831371953
0.002,0.085,0.09276261317436373
0.002,0.086,0.09270294710798307
0.002,0.087,0.09274391173007492
0.002,0.088,0.09302410523794041
0.002,0.089,0.0930057613643231
0.002,0.09,0.09325300481902851
0.002,0.091,0.09360024278232784
0.002,0.092,0.0938922216066738
0.002,0.093,0.094252870440223
0.002,0.094,0.09459540386095903
0.002,0.095,0.09455694073052466
0.002,0.096,0.09449364959128415
0.002,0.097,0.09443122523738237
0.002,0.098,0.09474874337503568
0.002,0.099,0.09509966386842975
0.003,0.001,0.07170673990001691
0.003,0.002,0.07189815124518595
0.003,0.003,0.07149382634464406
0.003,0.004,0.0716669466610382
0.003,0.005,0.07176273625145124
0.003,0.006,0.07179332144221696
0.003,0.007,0.07183086880091191
0.003,0.008,0.07189884217592311
0.003,0.009,0.07201241183846771
0.003,0.01,0.07195589001616406
0.003,0.011,0.07201907060302702
0.003,0.012,0.07200839886939425
0.003,0.013,0.07201043659925763
0.003,0.014,0.07215698905922184
0.003,0.015,0.07244979678116263
0.003,0.016,0.07246250588127577
0.003,0.017,0.07245772732735803
0.003,0.018,0.07239500189808164
0.003,0.019,0.07267902323527056
0.003,0.02,0.07292896476013616
0.003,0.021,0.0731995008843257
0.003,0.022,0.07328430246651299
0.003,0.023,0.07331932000336966
0.003,0.024,0.07332967910287637
0.003,0.025,0.07357049048390074
0.003,0.026,0.07350725019708644
0.003,0.027,0.07390391337625628
0.003,0.028,0.07393737737141229
0.003,0.029,0.07439329986151541
0.003,0.03,0.07441287085482974
