c,e,mse
0.004,0.094,0.06850168062243192
0.004,0.095,0.0683387269362511
0.004,0.096,0.06831114313924039
0.004,0.097,0.0683101571935472
0.004,0.098,0.06819782347300138
0.004,0.099,0.06815937904277398
0.005,0.001,0.0646009775999092
0.005,0.002,0.06459061777666524
0.005,0.003,0.06459143246509672
0.005,0.004,0.06461166948472612
0.005,0.005,0.06461283453679496
0.005,0.006,0.0646167483568048
0.005,0.007,0.0646323820676867
0.005,0.008,0.06463028970613319
0.005,0.009,0.06465875002854968
0.005,0.01,0.06468559672147452
0.005,0.011,0.0647225663827111
0.005,0.012,0.06480409426509406
0.005,0.013,0.06483698369567932
0.005,0.014,0.06490644293980943
0.005,0.015,0.06493399524084534
0.005,0.016,0.06499335491658424
0.005,0.017,0.06504490136603043
0.005,0.018,0.06517197285498126
0.005,0.019,0.0652865772650199
0.005,0.02,0.06528793796336038
0.005,0.021,0.0654117691051547
0.005,0.022,0.0654632132692906
0.005,0.023,0.06565116962520892
0.005,0.024,0.06569462056357933
0.005,0.025,0.06571496532958089
0.005,0.026,0.0657977360102335
0.005,0.027,0.06579954622643495
0.005,0.028,0.06581041133823373
0.005,0.029,0.06592677754511077
0.005,0.03,0.06590980877799968
0.005,0.031,0.06603387081606771
0.005,0.032,0.06601878495340023
0.005,0.033,0.06600613914746481
0.005,0.034,0.06609719287712798
0.005,0.035,0.06623303254519375
0.005,0.036,0.06628489641227531
0.005,0.037,0.066346381882413
0.005,0.038,0.06649748482184001
0.005,0.039,0.06658504244902985
0.005,0.04,0.06669448526542263
0.005,0.041,0.06662673537110445
0.005,0.042,0.06680782827702077
0.005,0.043,0.06690517098729017
0.005,0.044,0.06697248255495343
0.005,0.045,0.06706630212969913
0.005,0.046,0.06709751229716648
0.005,0.047,0.06700210714403017
0.005,0.048,0.06712300017708538
0.005,0.049,0.06716068303919905
0.005,0.05,0.06722986135157358
0.005,0.051,0.06737518001172564
0.005,0.052,0.06744422570563118
0.005,0.053,0.06756213903940163
0.005,0.054,0.06752025844833456
0.005,0.055,0.0675835525089622
0.005,0.056,0.0675616550955499
0.005,0.057,0.06768131765802807
0.005,0.058,0.06775028813402499
0.005,0.059,0.06787888861446074
0.005,0.06,0.0678277067760814
0.005,0.061,0.06797031698460342
0.005,0.062,0.06799292142391855
0.005,0.063,0.06794102501380368
0.005,0.064,0.06785755187164375
0.005,0.065,0.06789893681302692
0.005,0.066,0.068000059248606
0.005,0.067,0.06802780243557127
0.005,0.068,0.0681175383327401
0.005,0.069,0.06813947448718145
0.005,0.07,0.06827838044467596
0.005,0.071,0.06844887475981239
0.005,0.072,0.06844413389486488
0.005,0.073,0.06848077427655219
0.005,0.074,0.06843926718450923
0.005,0.075,0.06834255560205826
0.005,0.076,0.0683611081765009
0.005,0.077,0.06852567240831159
0.005,0.078,0.06857967611229045
0.005,0.079,0.06875935764037713
0.005,0.08,0.06879776658609996
0.005,0.081,0.06877863182856056
0.005,0.082,0.06892212719809095
0.005,0.083,0.06916840733497542
0.005,0.084,0.06914185431363631
0.005,0.085,0.06921413493537483
0.005,0.086,0.06917241661966872
0.005,0.087,0.06900998174978612
0.005,0.088,0.06895098078087444
0.005,0.089,0.06879248168090628
0.005,0.09,0.0688424641563173
0.005,0.091,0.06876385571622809
0.005,0.092,0.06851037635470965
0.005,0.093,0.06854105039770235
0.005,0.094,0.06851015670434016
0.005,0.095,0.06833190476872406
0.005,0.096,0.06825410610697377
0.005,0.097,0.0682918282523333
0.005,0.098,0.06823534996820536
0.005,0.099,0.06811480329018031
0.006,0.001,0.06456820320320304
0.006,0.002,0.06455009325328671
0.006,0.003,0.06457389232564921
0.006,0.004,0.06457286385440268
0.006,0.005,0.06459473012948838
0.006,0.006,0.0645720221278933
0.006,0.007,0.06458014942583432
0.006,0.008,0.06461511635837806
0.006,0.009,0.06463175097115074
0.006,0.01,0.0646740109901667
0.006,0.011,0.0647093985775677
0.006,0.012,0.06474344511153332
0.006,0.013,0.06480571223119186
0.006,0.014,0.06486608665827884
0.006,0.015,0.0649378176605166
0.006,0.016,0.0649893493389071
0.006,0.017,0.06504625352396727
0.006,0.018,0.0651272656626487
0.006,0.019,0.06521314178957642
0.006,0.02,0.06531053780072726
0.006,0.021,0.0653874364912271
0.006,0.022,0.06543801081125801
0.006,0.023,0.0655673073395255
0.006,0.024,0.0656170926495778
0.006,0.025,0.06573092139003549
0.006,0.026,0.0657090655322867
0.006,0.027,0.06572901759633246
0.006,0.028,0.06579573407975903
0.006,0.029,0.06582261322955589
0.006,0.03,0.06590800201172323
0.006,0.031,0.06597448175508913
0.006,0.032,0.06603450670732847
0.006,0.033,0.06597306272282041
0.006,0.034,0.06605395786577993
0.006,0.035,0.0662278593869561
0.006,0.036,0.06626106198679867
0.006,0.037,0.06638124874400675
0.006,0.038,0.06648316576098057
0.006,0.039,0.06659209927219263
0.006,0.04,0.06665570695186074
0.006,0.041,0.06679057541381604
0.006,0.042,0.06680280059727564
0.006,0.043,0.06691535915257893
0.006,0.044,0.0669810041391066
0.006,0.045,0.067056358799674
0.006,0.046,0.06712483518832629
0.006,0.047,0.06708292374582919
0.006,0.048,0.06714598286865084
0.006,0.049,0.0672455272792217
0.006,0.05,0.06729812565249123
0.006,0.051,0.06735739440041297
0.006,0.052,0.06752478848673982
0.006,0.053,0.06758541220378136
0.006,0.054,0.06753505399783463
0.006,0.055,0.06749762230107081
0.006,0.056,0.06755045000082441
0.006,0.057,0.06755525290420634
0.006,0.058,0.06770074504570103
0.006,0.059,0.06781471955744409
0.006,0.06,0.06774326686187407
0.006,0.061,0.06791160618591188
0.006,0.062,0.06793835044769009
0.006,0.063,0.06797362258835782
0.006,0.064,0.06796880819079526
0.006,0.065,0.06795255284704646
