c,e,mse
0.001,0.086,0.1222937659920545
0.001,0.087,0.12233027562082681
0.001,0.088,0.12241335112923613
0.001,0.089,0.12244786768113258
0.001,0.09,0.12250887954666517
0.001,0.091,0.12262762428038895
0.001,0.092,0.12272472662768673
0.001,0.093,0.12281797749470572
0.001,0.094,0.12285691965285246
0.001,0.095,0.12305184926269422
0.001,0.096,0.1230367471654245
0.001,0.097,0.12314676535914393
0.001,0.098,0.12327116924313725
0.001,0.099,0.12344437772302333
0.002,0.001,0.114663309120828
0.002,0.002,0.11469701154793482
0.002,0.003,0.11472787756463464
0.002,0.004,0.11473524460525457
0.002,0.005,0.11468886168204664
0.002,0.006,0.11464200852022337
0.002,0.007,0.1146277802727783
0.002,0.008,0.11464435261450222
0.002,0.009,0.11459789433860983
0.002,0.01,0.1146347479109925
0.002,0.011,0.11468504127394342
0.002,0.012,0.11471197924501345
0.002,0.013,0.1147218902259043
0.002,0.014,0.11475751661391442
0.002,0.015,0.11468747967237877
0.002,0.016,0.11466336197749798
0.002,0.017,0.11466321771240587
0.002,0.018,0.11469741522159554
0.002,0.019,0.11466961513782262
0.002,0.02,0.11465181693201132
0.002,0.021,0.11461269748613537
0.002,0.022,0.11456575410585108
0.002,0.023,0.11452304927646353
0.002,0.024,0.11449012102125812
0.002,0.025,0.11451550814609843
0.002,0.026,0.11452225357179284
0.002,0.027,0.11452582221202935
0.002,0.028,0.11451424108675712
0.002,0.029,0.11457356937858836
0.002,0.03,0.1144884023479883
0.002,0.031,0.11447883337656786
0.002,0.032,0.11444043543372139
0.002,0.033,0.11446809542138837
0.002,0.034,0.11452863087820343
0.002,0.035,0.11455960505854636
0.002,0.036,0.11459527426868317
0.002,0.037,0.1145307321700182
0.002,0.038,0.1145625869356827
0.002,0.039,0.11458631939061426
0.002,0.04,0.11467313600364396
0.002,0.041,0.11466791643339262
0.002,0.042,0.11464954907138829
0.002,0.043,0.11461803600531494
0.002,0.044,0.11462875100519046
0.002,0.045,0.11468971939540841
0.002,0.046,0.11471530051260553
0.002,0.047,0.11477691601825031
0.002,0.048,0.1147739274647712
0.002,0.049,0.1148177583050634
0.002,0.05,0.11484631835132438
0.002,0.051,0.11481644828622135
0.002,0.052,0.11485440419297757
0.002,0.053,0.1148547468252973
0.002,0.054,0.11486539049270261
0.002,0.055,0.11492719765471794
0.002,0.056,0.11495746620749442
0.002,0.057,0.11495424834298883
0.002,0.058,0.11499304312804438
0.002,0.059,0.11501831355832938
0.002,0.06,0.11498383158010679
0.002,0.061,0.1150048986716272
0.002,0.062,0.11499635192000718
0.002,0.063,0.11502750802224691
0.002,0.064,0.11496056796479942
0.002,0.065,0.11489028473615026
0.002,0.066,0.11492824502185849
0.002,0.067,0.11493405909025803
0.002,0.068,0.11493616676576891
0.002,0.069,0.11500479440432756
0.002,0.07,0.11502038831612686
0.002,0.071,0.11513966714967945
0.002,0.072,0.11507919390430241
0.002,0.073,0.11509033223268293
0.002,0.074,0.11516779193494038
0.002,0.075,0.115169133561977
0.002,0.076,0.115178804483458
0.002,0.077,0.11526615137493511
0.002,0.078,0.11518748192951207
0.002,0.079,0.11519413569596046
0.002,0.08,0.1151797923393888
0.002,0.081,0.11522187355747504
0.002,0.082,0.11535426334389014
0.002,0.083,0.11544060880112998
0.002,0.084,0.11554036200847675
0.002,0.085,0.1155308567034874
0.002,0.086,0.11568180914432384
0.002,0.087,0.1156140880484177
0.002,0.088,0.11567090622298017
0.002,0.089,0.11582712915223173
0.002,0.09,0.11587700630086906
0.002,0.091,0.11596805708870637
0.002,0.092,0.11598504247108984
0.002,0.093,0.11613243624530607
