,c,e,accuracy
319,0.04,0.23,0.07407758433000226
320,0.04,0.24,0.07692209341945995
321,0.04,0.25,0.07952244965418279
322,0.04,0.26,0.0837747337568279
323,0.04,0.27,0.08289983907918105
324,0.04,0.28,0.08285932442139818
325,0.04,0.29,0.08315358261095063
326,0.04,0.3,0.0859134910438253
327,0.04,0.31,0.08706437949667942
328,0.04,0.32,0.08743664319273003
329,0.04,0.33,0.08901156000825017
330,0.04,0.34,0.0901107582607725
331,0.04,0.35,0.09011075826077246
332,0.04,0.36,0.09011075826077246
333,0.04,0.37,0.09011075826077246
334,0.04,0.38,0.09011075826077246
335,0.04,0.39,0.09011075826077246
336,0.04,0.4,0.09011075826077246
337,0.04,0.41,0.0901107582607725
338,0.04,0.42,0.0901107582607725
339,0.04,0.43,0.0901107582607725
340,0.04,0.44,0.0901107582607725
341,0.04,0.45,0.0901107582607725
342,0.04,0.46,0.0901107582607725
343,0.04,0.47,0.09011075826077246
344,0.04,0.48,0.09011075826077246
345,0.04,0.49,0.09011075826077246
346,0.04,0.5,0.09011075826077246
347,0.04,0.51,0.09011075826077246
348,0.04,0.52,0.09011075826077246
349,0.04,0.53,0.09011075826077246
350,0.04,0.54,0.09011075826077246
351,0.04,0.55,0.09011075826077246
352,0.04,0.56,0.09011075826077246
353,0.04,0.57,0.09011075826077246
354,0.04,0.58,0.09011075826077246
355,0.04,0.59,0.09011075826077246
356,0.04,0.6,0.09011075826077246
357,0.04,0.61,0.09011075826077246
358,0.04,0.62,0.09011075826077246
359,0.04,0.63,0.09011075826077246
360,0.04,0.64,0.09011075826077246
361,0.04,0.65,0.09011075826077246
362,0.04,0.66,0.09011075826077246
363,0.04,0.67,0.09011075826077246
364,0.04,0.68,0.09011075826077246
365,0.04,0.69,0.09011075826077246
366,0.04,0.7,0.09011075826077246
367,0.04,0.71,0.09011075826077246
368,0.04,0.72,0.09011075826077246
369,0.04,0.73,0.09011075826077246
370,0.04,0.74,0.09011075826077246
371,0.04,0.75,0.09011075826077246
372,0.04,0.76,0.09011075826077246
373,0.04,0.77,0.09011075826077246
374,0.04,0.78,0.09011075826077246
375,0.04,0.79,0.09011075826077246
376,0.04,0.8,0.09011075826077246
377,0.04,0.81,0.09011075826077246
378,0.04,0.82,0.09011075826077246
379,0.04,0.83,0.09011075826077246
380,0.04,0.84,0.09011075826077246
381,0.04,0.85,0.09011075826077246
382,0.04,0.86,0.09011075826077246
383,0.04,0.87,0.09011075826077246
384,0.04,0.88,0.09011075826077246
385,0.04,0.89,0.09011075826077246
386,0.04,0.9,0.09011075826077246
387,0.04,0.91,0.09011075826077246
388,0.04,0.92,0.09011075826077246
389,0.04,0.93,0.09011075826077246
390,0.04,0.94,0.0901107582607725
391,0.04,0.95,0.0901107582607725
392,0.04,0.96,0.0901107582607725
393,0.04,0.97,0.0901107582607725
394,0.04,0.98,0.0901107582607725
395,0.04,0.99,0.0901107582607725
396,0.05,0.01,0.06540925783989754
397,0.05,0.02,0.06636837993673014
398,0.05,0.03,0.0674331140329105
399,0.05,0.04,0.06879833709461934
400,0.05,0.05,0.06963218901659927
